港台频道,#genre#
CGTN HD,http://ali.hlspull.yximgs.com/live/tMMbj6Qu7wPKBxO6Cbk07nNwaT2F1w7b.flv
AlJazeera FHD,http://ali.hlspull.yximgs.com/live/DPIJckefhDilC3lnId3zQDXshDE2x3zh.flv
ABC NEWS HD,http://ali.hlspull.yximgs.com/live/xxaToPY70C3FMt4yeJ9jwFowkJLIdiOb.flv
东森洋片 FHD,http://ali.hlspull.yximgs.com/live/bqikD2lNVu5rNN8n095SYLroxLcFuJV6.flv
寰宇新闻台湾台 HD,http://ali.hlspull.yximgs.com/live/o1L8g5CSXEGXPFLQiiTsKAqsGZLNKH4u.flv
年代新闻 FHD,http://ali.hlspull.yximgs.com/live/CJbPEDwTcMjCxOsJZw2WtOdDpwPN2Y9e.flv
astro AEC FHD,http://ali.hlspull.yximgs.com/live/Z3sfIyceTrg7u7GacaoWuHs3yxtTl6fG.flv
华视新闻资讯 HD,http://ali.hlspull.yximgs.com/live/r24DbmPYKUWydnvtySJLHr78yLuEocLB.flv
RT FHD,http://ali.hlspull.yximgs.com/live/UBn0PKxAypvnfieVo4QrPLXFVCDnS8jb.flv
Golf HD,http://ali.hlspull.yximgs.com/live/sWOo1dL7bzhyRycWGSVDaBpooKgwAJx0.flv
华藏卫视 FHD,http://ali.hlspull.yximgs.com/live/dd2TPlrUKGGNxNp3dQu7rowWozFvA0Ra.flv
NBC Golf FHD,http://ali.hlspull.yximgs.com/live/roUAUdOT35rBTaZ51iJ1vlxAu4Oswakl.flv
France 24 FHD,http://ali.hlspull.yximgs.com/live/WNIqQkDGqGLwwfaXYgOZB7AhZpMqclcd.flv
NHK World FHD,http://ali.hlspull.yximgs.com/live/LP5u1V6tqojGI4xKLnVQXX9whPdqEvHp.flv
FOX NEWS HD,http://ali.hlspull.yximgs.com/live/zNCdZrnsPhrk33SN86pKePz6oh47RZ9w.flv
CP24 HD,http://ali.hlspull.yximgs.com/live/wORx08c0rLZQlTYqZnppGtkSHo3sr7Mm.flv
DW TV HD,http://ali.hlspull.yximgs.com/live/GvE8nUVD73kr0OLDiVjHrTU8of0tP8X4.flv
One Golf HD,http://ali.hlspull.yximgs.com/live/sRwy3cpa2Kd20uuNvOx7NgmFyTukv1OB.flv
now爆谷台 HD,http://ali.hlspull.yximgs.com/live/Xx1x56WQPuXDdt1xdVmb3kmHUphyoxE8.flv
astro AOD HD,http://ali.hlspull.yximgs.com/live/LUS8CLX23dkWqqXMa1MLyxSabwLhCcEc.flv
Bloomberg HD,http://ali.hlspull.yximgs.com/live/vUH3E1xm2KuZ9v70j7dAwmuc8sX3sYTU.flv
新唐人亚太台 HD,http://ali.hlspull.yximgs.com/live/6S5328JElIyU678hORlDFUh66PBMBG7j.flv
astro 小太阳 HD,http://ali.hlspull.yximgs.com/live/hJFbJi4GPYx7HN7jmWfpcsxTppZPAj3j.flv
爱奇艺 HD,http://ali.hlspull.yximgs.com/live/GudcbNIee2fuYzGJAtp5iUJE451xzmrl.flv
凤凰资讯 HD,http://ali.hlspull.yximgs.com/live/UWEG2Rg0ksaKZPmuoLQakBX25ThINfZZ.flv
凤凰香港 HD,http://ali.hlspull.yximgs.com/live/2UMEU5KqwbH8JWzK7nyf8cCUDEzHTPEQ.flv
爱尔达体育1台 HD,http://ali.hlspull.yximgs.com/live/aX4dlF2nNqyrilYsR7C9UhHM11z94lZD.flv
astro 全佳 HD,http://ali.hlspull.yximgs.com/live/3rND2Kgj9NQMVmBp3Tz3o78n1OUv3L7l.flv
东森幼幼 FHD,http://ali.hlspull.yximgs.com/live/a2PiCv0nFTUJBqS294K5ZY7Gw0ocumEf.flv
翡翠华丽台 HD,http://ali.hlspull.yximgs.com/live/ErKEKxtCRYN4cMJwqpAGdWHO8fth1CZk.flv
戏曲台 HD,http://ali.hlspull.yximgs.com/live/wHLuab6T8qO0CTZGYZFWgHz2WAsRKeCL.flv
now星影台 HD,http://ali.hlspull.yximgs.com/live/jUGF2p2bHzRCo6Aw8tYuPwCAlqhotf1W.flv
凤凰中文 HD,http://ali.hlspull.yximgs.com/live/r7QBKQFJgBJnAyAff3wgJkwMCBtTCrXj.flv
公视3台 FHD,http://ali.hlspull.yximgs.com/live/lxkkPxZoTtMVoqgFnRobRmkGxyhU97Yw.flv
MUTV CLASSIC HD,http://ali.hlspull.yximgs.com/live/eElF7ni05jlqgFaDl2Vgcm7qxVvYqFUI.flv
BBC World News HD,http://ali.hlspull.yximgs.com/live/ypsygCJrUhSdIqdMGVGkhWplnbLQhPuu.flv
黄金翡翠台 HD,http://ali.hlspull.yximgs.com/live/dMgAv7p6GY4IK64zAbEgLNyHlHElWnP1.flv
爱尔达体育2台 FHD,http://ali.hlspull.yximgs.com/live/88FSsIHTV6Uc6SxV8Zgq5PxOtAGjqWzZ.flv
TVB magic HD,http://ali.hlspull.yximgs.com/live/1kkTpwqQGHfPM25TWvGpcK2HhU26eqtM.flv
爱尔达体育3台 HD,http://ali.hlspull.yximgs.com/live/pkTA5UcqYwmk8QLmPWIoGchO7abFnATp.flv
Now Sports 7 HD,http://ali.hlspull.yximgs.com/live/ABETO3b0iuL1Us1gJtJDPo1lzTOwh06u.flv
Sky Sports Cricket FHD,http://ali.hlspull.yximgs.com/live/AQg8FZ69drszO3aM3H5nKbFK5mouwufq.flv
千禧经典台(北美) HD,http://ali.hlspull.yximgs.com/live/bj5R2S2WYeGOjnPw6Fdn5F3AhbSLtk6p.flv
SUPER Kids Channel HD,http://ali.hlspull.yximgs.com/live/P8kq8VNcwyUEl037f2zFqomTGvaXTIuz.flv
民视第一台 FHD,http://ali.hlspull.yximgs.com/live/Di4VZncbSKIHHU8RVnr3D2JG9VnVesgg.flv
Now Sports PRIME HD,http://ali.hlspull.yximgs.com/live/2W7Hvdjbs8svjvPby5BIQ1CS2W95s4b9.flv
Viu HD,http://ali.hlspull.yximgs.com/live/ORgDmJDqK3KcF6XoJeT0s998fc3ICtTD.flv
Laliga TV FHD,http://ali.hlspull.yximgs.com/live/FfWyjiSVVZRfYevC1JrMIclzU7SUniYu.flv
东森财经新闻 FHD,http://ali.hlspull.yximgs.com/live/j10RzBtSXV9XgsEz1fXQB3xfXuBxpyeZ.flv
星卫HD电影台,http://ali.hlspull.yximgs.com/live/ccymAqnlejQv1hAnXdyG3sTjiV9eXHnJ.flv
三立inews新闻 FHD,http://ali.hlspull.yximgs.com/live/mYNzcjYjDQMhiYoRvNcP53lq5P4tnssR.flv
CN卡通频道 HD,http://ali.hlspull.yximgs.com/live/MbzqJVGIDXtxlY9U7B6gewE3Uw8DAuQt.flv
